age,ast,blk,date_game,drb,fg,fg3,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,pts,stl,team_id,tov,trb
21-284,4,0,2003-10-28,3,8,0,1,.444,18,2,.667,3,@,L (-15),6.4,1,41:00,PHI,1,3,18,0,MIA,5,4
21-285,4,0,2003-10-29,1,2,1,2,.167,12,0,,0,@,L (-23),0.2,1,34:00,BOS,1,5,5,1,MIA,0,2
21-287,2,1,2003-10-31,1,1,0,0,.111,9,2,1.000,2,,L (-12),-0.5,1,23:00,DET,2,1,4,0,MIA,2,3
21-295,5,1,2003-11-08,3,8,1,2,.381,21,2,.500,4,,L (-9),8.6,1,41:00,MIN,0,3,19,1,MIA,3,3
21-298,5,0,2003-11-11,5,4,0,1,.444,9,3,.750,4,@,L (-20),9.7,1,38:00,HOU,0,3,11,3,MIA,3,5
21-299,5,1,2003-11-12,4,5,0,1,.294,17,4,.800,5,,W (+5),7.0,1,35:00,CLE,3,3,14,0,MIA,3,7
21-301,6,0,2003-11-14,2,3,0,1,.300,10,1,.500,2,,W (+4),7.3,1,33:00,WAS,3,1,7,3,MIA,3,5
21-303,1,1,2003-11-16,1,4,0,0,.400,10,2,.500,4,@,L (-22),-0.1,1,26:00,LAL,0,4,10,1,MIA,5,1
21-305,5,0,2003-11-18,3,8,0,0,.533,15,2,.667,3,@,W (+7),14.3,1,34:00,SEA,2,2,18,4,MIA,5,5
21-306,4,2,2003-11-19,2,9,0,2,.563,16,6,.667,9,@,L (-1),17.0,1,36:00,POR,4,2,24,0,MIA,5,6
21-308,3,0,2003-11-21,2,5,0,2,.294,17,3,.750,4,@,L (-10),5.0,1,33:00,GSW,4,3,13,2,MIA,4,6
21-309,5,0,2003-11-22,2,9,2,3,.500,18,7,1.000,7,@,L (-2),20.1,1,37:00,PHO,2,1,27,1,MIA,4,4
21-312,4,1,2003-11-25,3,3,0,2,.273,11,0,,0,,W (+4),-0.2,1,32:00,NOH,1,2,6,0,MIA,4,4
